epoch, loss, categorical_accuracy, precision, recall, ROC, PR, true_positives, true_negatives, false_positives, false_negatives, val_loss, val_categorical_accuracy, val_precision, val_recall, val_ROC, val_PR, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives
1, 0.6961957812309265, 0.8180833458900452, 0.9407458305358887, 0.6558958292007446, 0.9750191569328308, 0.8834443092346191, 31483.0, 430017.0, 1983.0, 16517.0, 0.3311375677585602, 0.9118333458900452, 0.9460970163345337, 0.874666690826416, 0.9917982220649719, 0.962340235710144, 10496.0, 107402.0, 598.0, 1504.0
2, 0.3188474774360657, 0.9097291827201843, 0.9386841654777527, 0.8824999928474426, 0.9918299913406372, 0.9606307148933411, 42360.0, 429233.0, 2767.0, 5640.0, 0.274972528219223, 0.9240000247955322, 0.9473637938499451, 0.9014166593551636, 0.9931626319885254, 0.9706370234489441, 10817.0, 107399.0, 601.0, 1183.0
3, 0.27529123425483704, 0.9214791655540466, 0.9424290060997009, 0.9027291536331177, 0.9932104349136353, 0.9681850671768188, 43331.0, 429353.0, 2647.0, 4669.0, 0.2492576241493225, 0.9309999942779541, 0.9491980671882629, 0.9124166369438171, 0.9939815402030945, 0.9737027883529663, 10949.0, 107414.0, 586.0, 1051.0
4, 0.2508743405342102, 0.9280833601951599, 0.9471794962882996, 0.9126666784286499, 0.9939678907394409, 0.9724747538566589, 43808.0, 429557.0, 2443.0, 4192.0, 0.2367182970046997, 0.9330833554267883, 0.948952317237854, 0.9170833230018616, 0.9943252801895142, 0.975987434387207, 11005.0, 107408.0, 592.0, 995.0
5, 0.2329840511083603, 0.9333958625793457, 0.9495908617973328, 0.9187291860580444, 0.9946810007095337, 0.9754166603088379, 44099.0, 429659.0, 2341.0, 3901.0, 0.22494708001613617, 0.9355833530426025, 0.9499140977859497, 0.9214166402816772, 0.9945982098579407, 0.9773987531661987, 11057.0, 107417.0, 583.0, 943.0
6, 0.21894478797912598, 0.9371458292007446, 0.9524075388908386, 0.9247083067893982, 0.9951732754707336, 0.9778803586959839, 44386.0, 429782.0, 2218.0, 3614.0, 0.21800833940505981, 0.937250018119812, 0.9510232210159302, 0.9255833625793457, 0.9948099851608276, 0.9786718487739563, 11107.0, 107428.0, 572.0, 893.0
7, 0.2070213258266449, 0.9406874775886536, 0.9542068243026733, 0.9285625219345093, 0.9955541491508484, 0.979760468006134, 44571.0, 429861.0, 2139.0, 3429.0, 0.21065962314605713, 0.9398333430290222, 0.9533190727233887, 0.9275000095367432, 0.9950858354568481, 0.9795502424240112, 11130.0, 107455.0, 545.0, 870.0
8, 0.19752457737922668, 0.9437500238418579, 0.9562597274780273, 0.9323333501815796, 0.9958049654960632, 0.9812089800834656, 44752.0, 429953.0, 2047.0, 3248.0, 0.20422425866127014, 0.9409166574478149, 0.9545376896858215, 0.9308333396911621, 0.9952058792114258, 0.9803767204284668, 11170.0, 107468.0, 532.0, 830.0
9, 0.1889488697052002, 0.9453333616256714, 0.957827091217041, 0.934499979019165, 0.9961904287338257, 0.982709527015686, 44856.0, 430025.0, 1975.0, 3144.0, 0.20395208895206451, 0.940750002861023, 0.9534169435501099, 0.9312499761581421, 0.9950225949287415, 0.9803600311279297, 11175.0, 107454.0, 546.0, 825.0
10, 0.18145456910133362, 0.9474375247955322, 0.9591293334960938, 0.9382083415985107, 0.9964147806167603, 0.9838634729385376, 45034.0, 430081.0, 1919.0, 2966.0, 0.19561350345611572, 0.9419999718666077, 0.953902542591095, 0.9329166412353516, 0.9953044652938843, 0.9816392064094543, 11195.0, 107459.0, 541.0, 805.0
